Metric,Min,LQ,Median,UQ,Max,Mean,Std
RE_x,0.01,0.11,0.27,0.41,1.03,0.3,0.23
RE_y,0,0.13,0.25,0.44,1.1,0.31,0.24
RE_z,0,0.11,0.18,0.33,0.88,0.24,0.18
RE_Euc,0,0.09,0.2,0.36,1.03,0.25,0.21
LE_x,0,0.12,0.26,0.44,1.55,0.33,0.31
LE_y,0,0.13,0.26,0.57,1.56,0.39,0.34
LE_z,0,0.12,0.28,0.53,2.38,0.38,0.37
LE_Euc,0,0.13,0.27,0.52,2.12,0.36,0.34
AC_x,0,0.32,0.5,0.76,2.54,0.57,0.43
AC_y,0,0.24,0.44,0.73,1.55,0.52,0.38
AC_z,0,0.16,0.51,0.81,3.63,0.57,0.54
AC_Euc,0,0.2,0.39,0.68,2.51,0.49,0.43
PC_x,0.05,0.53,0.73,1.06,2.58,0.82,0.44
PC_y,0.12,0.5,0.74,1.1,1.77,0.82,0.42
PC_z,0,0.48,0.68,1.03,3.7,0.81,0.57
PC_Euc,0,0.41,0.63,1.01,2.66,0.75,0.46
