afid_lab
AC
PC
Infracollicular sulcus
PMJ
Superior interpeduncular fossa
R superior LMS
L superior LMS
R inferior LMS
L inferior LMS
Culmen
Intermammillary sulcus
R MB
L MB
Pineal gland
R LV at AC
L LV at AC
R LV at PC
L LV at PC
Genu of CC
Splenium
R AL temporal horn
L AL temporal horn
R superior AM temporal horn
L superior AM temporal horn
R inferior AM temporal horn
L inferior AM temporal horn
R indusium griseum origin
L indusium griseum origin
R ventral occipital horn
L ventral occipital horn
R olfactory sulcal fundus
L olfactory sulcal fundus
